T,rho,c,u,k,alpha,dL/L_293,E,v,rho_e,s,betta,Su,Sy,IntK,
1,,,,,,,,,4.850E-07,,,,,,
2,,,,,,,,,4.850E-07,,,,,,
4,8072,0.002066,0,0.2724,0.000E+00,-0.003,,,4.850E-07,0,0,,,0,
5,8072,0.002311,0.002188,0.3663,0.000E+00,-0.003,210.2,,4.850E-07,0.0004883,0,,,0.3194,
6,8072,0.002858,0.004773,0.4653,0.000E+00,-0.003,210.2,,4.850E-07,0.0009596,0,,,0.7351,
7,8072,0.003473,0.007939,0.569,0.000E+00,-0.003,210.2,,4.850E-07,0.001448,0,,,1.252,
8,8072,0.004087,0.01172,0.677,0.000E+00,-0.003,210.2,,4.850E-07,0.001952,0,,,1.875,
9,8072,0.004685,0.0161,0.7887,0.000E+00,-0.003,210.2,,4.850E-07,0.002469,0,,,2.608,
10,8072,0.005275,0.02108,0.9039,0.000E+00,-0.003,210.2,,4.850E-07,0.002994,0,,,3.454,
15,8072,0.008588,0.05574,1.518,0.000E+00,-0.003,210.1,,4.840E-07,0.005804,0,,,9.509,
20,8072,0.01345,0.1108,2.169,0.000E+00,-0.003,210.1,,4.830E-07,0.008974,0,,,18.73,
25,8072,0.02063,0.196,2.825,2.839E-07,-0.003,210.1,,4.825E-07,0.01278,8.516E-07,,,31.21,
30,8072,0.03054,0.324,3.469,1.051E-06,-0.002997,210.4,,4.820E-07,0.01744,0.000003154,,,46.95,
40,8072,0.05869,0.7701,4.67,2.505E-06,-0.002979,211.7,,4.830E-07,0.03028,0.000007515,,,87.64,
50,8071,0.09569,1.542,5.73,3.853E-06,-0.002947,213.4,,4.850E-07,0.0475,0.00001156,,,139.6,
75,8068,0.1971,5.202,7.787,6.791E-06,-0.002813,214.4,,4.990E-07,0.1069,0.00002037,,,308.6,
100,8060,0.272,11.07,9.2,1.140E-05,-0.00254,213.7,,5.220E-07,0.1743,0.0000342,,,520.9,
200,8030,0.402,44.77,12.6,1.320E-05,-0.0013,207.2,,6.270E-07,0.4079,0.0000396,,,1611,
250,8013,0.4395,65.8,13.75,1.400E-05,-0.0005957,203.3,,6.750E-07,0.5018,0.000042,,,2270,
290,8000,0.4695,83.98,14.67,1.464E-05,-0.00003226,199.8,0.29,7.105E-07,0.5693,0.00004392,505,215,2838,
300,7996,0.477,88.72,14.9,1.480E-05,0.0001086,198.8,,7.190E-07,0.5853,0.0000444,,,2986,
310,7993,0.4808,93.5,15.07,1.495E-05,0.0002637,194.4,,7.272E-07,0.601,0.00004485,,,3136,
350,7978,0.496,113,15.75,1.555E-05,0.0008843,191.6,,7.600E-07,0.6603,0.00004665,,,3752,
400,7959,0.515,138.3,16.6,1.630E-05,0.00166,188.1,,7.980E-07,0.7278,0.0000489,,,4561,
600,7876,0.557,245.5,19.8,1.860E-05,0.00517,174.8,,9.330E-07,0.9451,0.0000558,,,8201,
800,7785,0.582,359.4,22.6,2.020E-05,0.00907,159.1,,0.000001043,1.109,0.0000606,,,12441,
1000,7690,0.611,478.7,25.4,2.110E-05,0.01322,143.8,,0.000001125,1.242,0.0000633,,,17241,
1200,7594,0.64,603.8,28,2.140E-05,0.01749,129.1,,0.000001187,1.356,0.0000642,,,22581,
1500,7452,0.682,802.1,31.7,2.150E-05,0.0239,,,0.000001264,1.504,0.0000645,,,31536,
1600,,,,,,,,,0.000001287,,,,,,
