NTU/U,
0,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,3,5,10,100,1000,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0.3333,0.3332,0.3329,0.3323,0.3315,0.3304,0.3292,0.3277,0.326,0.3241,0.3221,0.3198,0.3174,0.3148,0.3121,0.3092,0.3062,0.303,0.2998,0.2964,0.293,0.256,0.1877,0.0999,0.01,0.001,
1.5,0.4286,0.4283,0.4276,0.4264,0.4248,0.4227,0.4202,0.4173,0.4139,0.4102,0.4061,0.4017,0.3971,0.3921,0.3869,0.3815,0.3758,0.3701,0.3641,0.3581,0.352,0.2906,0.1963,0.1,0.01,0.001,
2,0.5,0.4996,0.4986,0.4968,0.4943,0.4912,0.4874,0.483,0.478,0.4728,0.4665,0.46,0.4531,0.4459,0.4383,0.4305,0.4225,0.4143,0.406,0.3975,0.3891,0.3081,0.1988,0.1,0.01,0.001,
2.5,0.5556,0.5551,0.5537,0.5513,0.5481,0.544,0.5391,0.5333,0.5269,0.5197,0.512,0.5036,0.4948,0.4856,0.4759,0.466,0.4558,0.4455,0.4351,0.4246,0.4141,0.3179,0.1996,0.1,0.01,0.001,
3,0.6,0.5994,0.5977,0.5949,0.591,0.5861,0.5802,0.5733,0.5656,0.557,0.5477,0.5377,0.5272,0.5162,0.5047,0.4929,0.4809,0.4687,0.4564,0.4442,0.432,0.3235,0.1998,0.1,0.01,0.001,
3.5,0.6364,0.6357,0.6338,0.6305,0.6261,0.6204,0.6137,0.6058,0.597,0.5873,0.5766,0.5653,0.5532,0.5406,0.5275,0.5141,0.5004,0.4866,0.4727,0.4589,0.4452,0.327,0.1999,0.1,0.01,0.001,
4,0.6667,0.6659,0.6688,0.6602,0.6553,0.6491,0.6416,0.633,0.6232,0.6124,0.6007,0.588,0.5747,0.5606,0.5461,0.5312,0.516,0.5007,0.4854,0.4702,0.4552,0.3292,0.2,0.1,0.01,0.001,
4.5,0.6923,0.6915,0.6892,0.6853,0.68,0.6733,0.6652,0.6559,0.6454,0.6337,0.621,0.6073,0.5927,0.5774,0.5616,0.5453,0.5288,0.5122,0.4956,0.4792,0.463,0.3306,0.2,0.1,0.01,0.001,
5,0.7143,0.7134,0.7109,0.7068,0.7012,0.6941,0.6856,0.6757,0.6645,0.6521,0.6385,0.6238,0.6082,0.5918,0.5747,0.5572,0.5394,0.5216,0.5039,0.4864,0.4692,0.3315,0.2,0.1,0.01,0.001,
5.5,0.7333,0.7324,0.7298,0.7255,0.7196,0.7122,0.7033,0.6929,0.6812,0.6681,0.6538,0.6382,0.6216,0.6041,0.586,0.5673,0.5484,0.5295,0.5107,0.4922,0.4742,0.3321,0.2,0.1,0.01,0.001,
6,0.75,0.7491,0.7463,0.7418,0.7357,0.728,0.7188,0.7081,0.6959,0.6823,0.6672,0.6509,0.6334,0.615,0.5958,0.5761,0.5561,0.5362,0.5164,0.4971,0.4782,0.3325,0.2,0.1,0.01,0.001,
7,0.7778,0.7768,0.7738,0.7691,0.7626,0.7546,0.7449,0.7337,0.7208,0.7062,0.69,0.6723,0.6532,0.633,0.612,0.5904,0.5686,0.5468,0.5253,0.5045,0.4843,0.3329,0.2,0.1,0.01,0.001,
8,0.8,0.7989,0.7959,0.7909,0.7843,0.776,0.7661,0.7545,0.741,0.7257,0.7086,0.6898,0.6693,0.6476,0.6249,0.6016,0.5781,0.5548,0.5319,0.5097,0.4885,0.3331,0.2,0.1,0.01,0.001,
9,0.8182,0.8171,0.8139,0.8088,0.8021,0.7937,0.7836,0.7718,0.758,0.7421,0.7242,0.7044,0.6827,0.6596,0.6354,0.6106,0.5856,0.5609,0.5368,0.5136,0.4914,0.3332,0.2,0.1,0.01,0.001,
10,0.8333,0.8322,0.8289,0.8238,0.817,0.8086,0.7984,0.7864,0.7724,0.7561,0.7375,0.7168,0.6941,0.6697,0.6441,0.6179,0.5916,0.5657,0.5405,0.5164,0.4936,0.3333,0.2,0.1,0.01,0.001,
11,0.8462,0.845,0.8416,0.8365,0.8297,0.8213,0.8111,0.7991,0.7848,0.7682,0.7491,0.7276,0.7038,0.6783,0.6515,0.624,0.5965,0.5695,0.5434,0.5186,0.4951,0.3333,0.2,0.1,0.01,0.001,
12,0.8571,0.8559,0.8526,0.8474,0.8406,0.8323,0.8221,0.8101,0.7957,0.7788,0.7592,0.737,0.7123,0.6857,0.6577,0.6291,0.6005,0.5726,0.5457,0.5202,0.4963,0.3333,0.2,0.1,0.01,0.001,
14,0.875,0.8738,0.8703,0.8652,0.8585,0.8503,0.8404,0.8284,0.8139,0.7966,0.7762,0.7528,0.7265,0.6979,0.6679,0.6372,0.6067,0.5771,0.549,0.5225,0.4978,0.3333,0.2,0.1,0.01,0.001,
16,0.8889,0.8876,0.8842,0.8791,0.8726,0.8648,0.8549,0.843,0.8286,0.811,0.7901,0.7656,0.7379,0.7076,0.6756,0.6431,0.6111,0.5802,0.551,0.5238,0.4987,0.3333,0.2,0.1,0.01,0.001,
18,0.9,0.8987,0.8953,0.8904,0.8841,0.8768,0.8668,0.8551,0.8407,0.8231,0.8016,0.7762,0.7472,0.7153,0.6817,0.6477,0.6143,0.5824,0.5524,0.5247,0.4992,0.3333,0.2,0.1,0.01,0.001,
20,0.9091,0.9078,0.9044,0.8996,0.8935,0.8869,0.8767,0.8653,0.851,0.8333,0.8114,0.7852,0.755,0.7217,0.6866,0.6512,0.6167,0.5839,0.5534,0.5252,0.4995,0.3333,0.2,0.1,0.01,0.001,
22.5,0.9184,0.9171,0.9138,0.9091,0.9032,0.896,0.887,0.8759,0.8618,0.8441,0.8218,0.7948,0.7632,0.7283,0.6915,0.6546,0.6188,0.5852,0.5541,0.5257,0.4997,0.3333,0.2,0.1,0.01,0.001,
25,0.9259,0.9246,0.9214,0.9169,0.9112,0.9042,0.8956,0.8848,0.871,0.8532,0.8307,0.8029,0.7701,0.7336,0.6953,0.6571,0.6204,0.5861,0.5546,0.5259,0.4998,0.3333,0.2,0.1,0.01,0.001,
30,0.9375,0.9362,0.9332,0.929,0.9237,0.9172,0.9091,0.8989,0.8856,0.868,0.845,0.8159,0.7809,0.7418,0.7009,0.6605,0.6224,0.5872,0.5551,0.5262,0.4999,0.3333,0.2,0.1,0.01,0.001,
35,0.9459,0.9447,0.9418,0.9379,0.933,0.9269,0.9193,0.9096,0.8968,0.8795,0.8562,0.8259,0.789,0.7476,0.7046,0.6627,0.6235,0.5877,0.5554,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
40,0.9524,0.9511,0.9484,0.9447,0.9402,0.9348,0.9278,0.9181,0.9058,0.8888,0.8653,0.834,0.7954,0.7519,0.7072,0.664,0.6241,0.5879,0.5555,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
50,0.9615,0.9603,0.9579,0.9546,0.9506,0.9456,0.9391,0.9307,0.9193,0.9029,0.8792,0.8463,0.8047,0.7578,0.7103,0.6654,0.6247,0.5881,0.5555,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
60,0.9677,0.9666,0.9644,0.9614,0.9578,0.9533,0.9474,0.9397,0.929,0.9133,0.8895,0.8553,0.811,0.7614,0.712,0.6661,0.6249,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
80,0.9756,0.9746,0.9727,0.9702,0.9673,0.9634,0.9584,0.9518,0.9423,0.9277,0.9041,0.8676,0.8191,0.7654,0.7134,0.6665,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
100,0.9804,0.9794,0.9779,0.9757,0.9731,0.9698,0.9654,0.9596,0.951,0.9374,0.9141,0.8757,0.8237,0.7672,0.714,0.6666,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
150,0.9868,0.9861,0.9848,0.9831,0.9813,0.9788,0.9754,0.9709,0.9638,0.9522,0.9297,0.8877,0.8293,0.7688,0.7142,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
200,0.9901,0.9894,0.9884,0.987,0.9856,0.9835,0.9808,0.977,0.9708,0.9607,0.939,0.8943,0.8315,0.7691,0.7143,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
300,0.9934,0.9929,0.9921,0.9911,0.99,0.9884,0.9865,0.9836,0.9785,0.9704,0.95,0.901,0.8329,0.7692,0.7143,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
600,0.9967,0.9964,0.9958,0.9953,0.9947,0.9937,0.9926,0.9907,0.987,0.9821,0.9643,0.9071,0.8333,0.7692,0.7143,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
1000,0.998,0.9978,0.9974,0.9971,0.9967,0.9959,0.9953,0.9937,0.9908,0.9876,0.972,0.9087,0.8333,0.7692,0.7143,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
1000000,1,1,1,1,1,1,1,1,1,1,1,0.9091,0.8333,0.7692,0.7143,0.6667,0.625,0.5882,0.5556,0.5263,0.5,0.3333,0.2,0.1,0.01,0.001,
